A,B,C,D,E,F,G,H
1973,1,1,34609.8,-9.21,150.63,5.3,41
1973,1,1,52229.8,-15.01,-173.96,5,33
1973,1,1,114237.5,-35.51,-16.21,6,33
1973,1,2,5320.3,-9.85,117.43,5.5,66
1973,1,2,22709.2,1.03,126.21,5.4,61
1973,1,2,34752.5,5.4,-82.54,5.2,30
1973,1,2,222557,31.24,88.09,5.2,33
1973,1,3,25816.7,-27.72,-63.26,5.6,563
1973,1,3,143104.5,39.11,71.89,5.5,33
1973,1,3,211416.4,44.34,-129.15,5.3,18
1973,1,4,10750.3,-13.38,167.09,5.1,194
1973,1,4,80350.4,71.11,-7.67,5.1,33
1973,1,4,91032.4,-59.37,-17.89,5.4,33
1973,1,5,14425.8,49.44,-28.24,5.4,33
1973,1,5,33858.1,25.9,-45,5.1,33
1973,1,5,54917.5,35.81,21.83,5.2,33
1973,1,5,133950.4,48.16,146.82,5.1,430
1973,1,5,135429.1,-39,175.23,6.2,150
1973,1,5,153919.9,-7.05,146.17,5.1,137
1973,1,5,212912.3,-21.32,175.2,5.2,620
1973,1,6,50132.4,-21.75,170.38,5,82
1973,1,6,75814.6,-31.51,179.52,5.2,476
1973,1,6,155241.9,-14.66,166.38,6.1,36
1973,1,6,221549.9,-15.5,167.49,5.3,123
1973,1,7,10457.2,6.86,-73.07,5.1,160
1973,1,7,221702.6,5.68,127.3,5.1,79
1973,1,8,43626.4,13.59,57.35,5,33
1973,1,9,61425.3,6.98,126.15,5.3,51
1973,1,9,170755.5,51.4,-178.21,5.1,52
1973,1,10,32411.7,37.76,21.34,5,41
1973,1,10,113227.4,-11.1,162.28,6,32
1973,1,10,114643.7,-11.19,162.25,5.9,32
1973,1,11,21227.5,52.1,-169.6,5.4,30
1973,1,12,31133.1,-54.36,5.3,5.7,33
1973,1,12,31602.8,-54.41,5.36,5.7,33
1973,1,12,40126.3,-54.39,5.19,5.1,33
1973,1,12,233925.9,35.99,70.58,5.2,126
1973,1,13,10037.6,51.77,-177,5.4,61
1973,1,13,23912.2,-4.83,144.11,5,105
1973,1,13,60542.4,-16.81,28.37,5,33
1973,1,13,111020.4,-2.7,101.27,5.2,105
1973,1,13,141441.1,25.58,63.9,5,50
1973,1,13,215822,51.77,176.26,5,52
1973,1,14,85728.5,14.77,-45.09,5,33
1973,1,14,200855.4,-38.28,176.26,5.2,174
1973,1,15,15314.6,45.96,142.67,5.1,354
1973,1,15,32047.3,-20.93,169.77,5.1,82
1973,1,15,90258.3,27.08,140.1,6,477
1973,1,15,91410.7,27.09,140.03,5.1,478
1973,1,15,125544.8,40.43,91.07,5.1,13
1973,1,16,54257.9,0.54,125.96,5.3,15
1973,1,16,94701.9,-3.53,135.47,5.5,7
1973,1,16,95738.6,54.12,-165.54,5.3,81
1973,1,16,180903.3,-4.38,153.22,5.3,50
1973,1,16,213126,33.21,75.71,5.1,42
1973,1,17,22349.5,-2.38,138.8,5.2,33
1973,1,17,80846.6,-35.47,-179.27,5,59
1973,1,17,94436.8,-15.13,-175.01,5.7,251
1973,1,18,92814.1,-6.87,149.99,6.8,43
1973,1,18,101817.3,6.43,127.09,5,60
1973,1,19,13703.7,-6.92,150.18,5.2,48
1973,1,19,80508.6,5.94,126.84,5.2,63
1973,1,19,114658.8,-55.47,-28.75,5.4,33
1973,1,19,232414.8,-23.44,-175.64,5,33
1973,1,20,53515.3,-15.09,-179.13,5,33
1973,1,20,101351.3,34.95,140.84,5,43
1973,1,20,123419.6,29.28,68.57,5.6,17
1973,1,20,124644,29.49,68.6,5,15
1973,1,20,162959.1,34.88,140.95,5,20
1973,1,20,233933.4,-56.07,-27.46,5.3,101
1973,1,21,21.6,-9.39,122.16,5.2,33
1973,1,21,44243.4,29.27,68.56,5.3,20
1973,1,21,52523.4,29.31,68.49,5.2,11
1973,1,21,81618.8,36.1,139.77,5,61
1973,1,21,163710.2,6.94,-75.34,5.3,66
1973,1,21,181229.9,-7.95,-74.39,5.1,147
1973,1,21,202049.3,-15.86,-174.05,5.5,129
1973,1,22,3758,18.6,-104.97,6.2,33
1973,1,22,4930.9,18.59,-104.92,5,33
1973,1,22,133657.8,-21.66,-179.04,5.2,570
1973,1,22,234536.7,-5.97,149.69,5.2,72
1973,1,23,44945.7,-12.09,166.5,6.3,97
1973,1,23,152618.6,-9.19,155.99,5.2,9
1973,1,24,32020.2,40.96,82.18,5.1,33
1973,1,24,121814.8,-5.39,152.92,5,55
1973,1,24,132013.5,-5.69,147.27,5.1,180
1973,1,24,200511.9,1,126.26,5.1,53
1973,1,25,183227.4,54.57,161.6,5.3,31
1973,1,26,130516.8,-17.52,-173.04,5.2,33
1973,1,26,130707.1,-1.18,67.37,5.1,33
1973,1,26,213355,0.38,122.22,5.6,115
1973,1,27,40441.6,50.4,156.85,5.2,47
1973,1,27,130843.7,-0.12,123.93,6,55
1973,1,27,203800.3,-17.51,-172.85,5.1,33
1973,1,28,141803.1,-16.51,-173.76,5.1,33
1973,1,28,170146.3,41.85,141.11,5.1,93
1973,1,28,173442.1,-19.28,-175.93,5,236
1973,1,28,174314.6,-19.85,169.03,5.7,72
1973,1,28,230512.3,2.38,126.68,5.2,59
1973,1,29,43206.6,35.82,73.29,5,53
1973,1,29,142615.7,-21.89,-174.94,5.1,33
1973,1,30,150323.9,-45.68,-76.64,5.3,33
1973,1,30,210112.5,18.48,-103,7.5,43
1973,1,31,131326,-19.28,169.6,5,274
1973,1,31,161600.5,-55.41,-28.08,5.1,33
1973,1,31,181513.3,-1.64,128.94,5,33
1973,1,31,205553.1,28.21,139.23,6.3,498
1973,2,1,3303.7,-15.56,167.18,5,45
1973,2,1,51420.6,-22.66,-66.19,6.7,229
1973,2,1,72744.8,-17.7,-175.16,5.3,232
1973,2,1,172400.9,51.79,176.26,5.3,51
1973,2,2,15321.1,-55.65,-26.77,5.6,33
1973,2,3,221927.3,13.92,145.06,5,118
1973,2,4,142200.2,-55.34,-27.96,5.2,33
1973,2,4,223758.1,-5.8,151.14,5.2,61
1973,2,5,43033.1,43.92,147.47,5.3,53
1973,2,5,112010.6,11.4,126.7,5,19
1973,2,6,53002,27.87,127.69,5.7,81
1973,2,6,103710.1,31.4,100.58,7.7,33
1973,2,6,132404.3,39.83,77.24,5,33
1973,2,6,171103.3,31.7,100.02,5.1,33
1973,2,7,20816.9,-17.58,-172.69,5,33
1973,2,7,52720,32.05,49.43,5.2,51
1973,2,7,61021.8,-7.42,-74.81,5.3,140
1973,2,7,80113.7,-55.91,-27.84,5.7,33
1973,2,7,95117.6,6.45,126.8,5.3,207
1973,2,7,160625,31.46,100.29,5.8,33
1973,2,8,22803.7,36.71,68.44,5.3,33
1973,2,8,93843.7,-44.96,-77.85,5.4,33
1973,2,8,100908.3,-45.47,96.29,6.1,33
1973,2,8,190521.9,-10.38,-13.01,5.3,33
1973,2,9,50243.6,-2.71,119.84,5.2,33
1973,2,9,95318.5,4.63,-76.03,5,84
1973,2,10,51217.7,33.2,140.65,5.3,62
1973,2,10,115327.5,18.89,-103.54,5.6,33
1973,2,10,143735.1,2.52,66.42,5.3,33
1973,2,10,165533.9,49.9,156.08,5.5,33
1973,2,10,220852.8,2.56,66.29,5,33
1973,2,11,14538.1,-5.43,126.64,5,33
1973,2,11,103240.2,-6.55,147.43,5.1,78
1973,2,11,111758.3,6.66,126.84,5.1,71
1973,2,11,181013.5,-26.13,70.97,5.1,33
1973,2,13,135946.8,4.55,125.7,5.5,176
1973,2,13,152255.1,-17.52,-178.5,5.5,541
1973,2,13,180149.8,-20.48,169.66,5.2,143
1973,2,13,195353.5,51.24,-179.21,5.4,46
1973,2,14,4916.2,22.29,121.55,5.9,38
1973,2,14,92121.7,-6.72,131.33,5.4,33
1973,2,14,92806.4,-20.05,-178.31,5,600
1973,2,14,93258.8,-9.93,160.93,5.9,62
1973,2,14,152209.6,-5.36,126.75,5.7,17
1973,2,14,161114.9,-30.39,-177.51,6.7,29
1973,2,14,214542.4,39.03,141.47,5.1,110
